Player,ID
LeBron James,jamesle01
Carmelo Anthony,anthoca01
Kevin Durant,duranke01
Chris Paul,paulch01
J.J. Redick,redicjj01
Brook Lopez,lopezbr01
DeAndre Jordan,jordade01
Enes Kanter,kanteen01
Paul George,georgpa01
DeMarcus Cousins,couside01
Greg Monroe,monrogr01
Kentavious Caldwell-Pope,caldwke01
Dwyane Wade,wadedw01
Tony Parker,parketo01
Thaddeus Young,youngth01
Wilson Chandler,chandwi01
Derrick Favors,favorde01
Austin Rivers,riverau01
Nikola Pekovic,pekovni01
Amir Johnson,johnsam01
Iman Shumpert,shumpim01
Danny Green,greenda02
Joe Johnson,johnsjo02
Trevor Booker,booketr01
Avery Bradley,bradlav01
Rudy Gay,gayru01
Vince Carter,Vince Carter
Garrett Temple,templga01
Corey Brewer,breweco01
Darrell Arthur,arthuda01
Channing Frye,fryech01
Trevor Ariza,arizatr01
Jabari Parker,parkeja01
Ed Davis,davised01
Marco Belinelli,belinma01
Spencer Hawes,hawessp01
Josh McRoberts,mcrobjo01
Milos Teodosic,teodomi01
Ersan Ilyasova,ilyaser01
Dewayne Dedmon,dedmode01
D'Angelo Russell,russeda01
Aaron Gordon,gordoaa01
Nick Young,youngni01
Brandan Wright,wrighbr03
Dirk Nowitzki,nowitdi01
Greg Monroe,monrogr01
Mike Muscala,muscami01
Jahlil Okafor,okafoja01
Dante Exum,exumda01
Jameer Nelson,nelsoja01
Marcus Smart,smartma01
Devin Harris,harride01
Ron Baker,bakerro01
Jamal Crawford,crawfja01
Aron Baynes,baynear01
Alex Len,lenal01
Nerlens Noel,noelne01
Lance Stephenson,stephla01
Julius Randle,randlju01
Kyle O'Quinn,oquinky01
Mario Hezonja,hezonma01
Nemanja Bjelica,bjeline01
Quincy Pondexter,pondequ01
Nik Stauskas,stausni01
Will Barton,bartowi01
Noah Vonleh,vonleno01
Zaza Pachulia,pachuza01
Elfrid Payton,paytoel01
Rajon Rondo,rondora01
Doug McDermott,mcderdo01
Jodie Meeks,meeksjo01
Tyreke Evans,evansty01
Tarik Black,blackta01
Anthony Tolliver,tollian01
Zach LaVine,lavinza01
James Ennis,ennisja01
Seth Curry,curryse01
Mindaugas Kuzminskas,kuzmimi01
Rajon Rondo,rondora01
Lucas Nogueira,noguelu01
Jusuf Nurkic,nurkiju01
Michael Carter-Williams,cartemi01
Domantas Sabonis,sabondo01
Richard Jefferson,jefferi01
Malcolm Delaney,delanma01
Bruno Caboclo,cabocbr01
Ronnie Price,pricero01
Rodney Hood,hoodro01
Shabazz Napier,napiesh01
Clint Capela,capelca01
Arron Afflalo,afflaar01
Raymond Felton,feltora01
Nick Collison,collini01
Ramon Sessions,sessira01
Jarrett Jack,jackja01
Jason Terry,terryja01
Udonis Haslem,hasleud01
Dwyane Wade,wadedw01
David West,westda01
Richard Jefferson,jefferi01
Jose Calderon,caldejo01
Andrew Bogut,bogutan01
Dante Cunningham,cunnida01
Jameer Nelson,nelsoja01
Josh Smith,smithjo03
Kyle Anderson,anderky01
Derrick Rose,rosede01
Marreese Speights,speigma01
Michael Beasley,beaslmi01
Aaron Brooks,brookaa01
Luc Mbah a Moute,mbahalu01
JaVale McGee,mcgeeja01
Jeff Green,greenje02
Tony Allen,allento01
Damien Wilkins,wilkida02
Omri Casspi,casspom01
